"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2003","NO","Norway","Total","Percentage of active population","Total","4.2"
"2003","TR","Turkey","Total","Percentage of active population","Total",":"
"2004","BE","Belgium","Total","Percentage of active population","Total","8.4"
"2004","BG","Bulgaria","Total","Percentage of active population","Total","12.1"
"2004","CZ","Czech Republic","Total","Percentage of active population","Total","8.3"
"2004","DK","Denmark","Total","Percentage of active population","Total","5.5"
"2004","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","10.4"
"2004","EE","Estonia","Total","Percentage of active population","Total","10.1"
"2004","IE","Ireland","Total","Percentage of active population","Total","4.5"
"2004","EL","Greece","Total","Percentage of active population","Total","10.6"
"2004","ES","Spain","Total","Percentage of active population","Total","11.0"
"2004","FR","France","Total","Percentage of active population","Total","8.9"
"2004","HR","Croatia","Total","Percentage of active population","Total","13.8"
"2004","IT","Italy","Total","Percentage of active population","Total","8.0"
"2004","CY","Cyprus","Total","Percentage of active population","Total","4.6"
"2004","LV","Latvia","Total","Percentage of active population","Total","11.7"
"2004","LT","Lithuania","Total","Percentage of active population","Total","10.9"
"2004","LU","Luxembourg","Total","Percentage of active population","Total","5.0"
"2004","HU","Hungary","Total","Percentage of active population","Total","6.1"
"2004","MT","Malta","Total","Percentage of active population","Total","7.2"
"2004","NL","Netherlands","Total","Percentage of active population","Total","5.7"
"2004","AT","Austria","Total","Percentage of active population","Total","5.5"
"2004","PL","Poland","Total","Percentage of active population","Total","19.1"
"2004","PT","Portugal","Total","Percentage of active population","Total","7.8"
"2004","RO","Romania","Total","Percentage of active population","Total","8.0"
"2004","SI","Slovenia","Total","Percentage of active population","Total","6.3"
"2004","SK","Slovakia","Total","Percentage of active population","Total","18.4"
"2004","FI","Finland","Total","Percentage of active population","Total","8.8"
"2004","SE","Sweden","Total","Percentage of active population","Total","7.4"
"2004","UK","United Kingdom","Total","Percentage of active population","Total","4.7"
"2004","IS","Iceland","Total","Percentage of active population","Total","3.1"
"2004","NO","Norway","Total","Percentage of active population","Total","4.3"
"2004","TR","Turkey","Total","Percentage of active population","Total",":"
"2005","BE","Belgium","Total","Percentage of active population","Total","8.5"
"2005","BG","Bulgaria","Total","Percentage of active population","Total","10.1"
"2005","CZ","Czech Republic","Total","Percentage of active population","Total","7.9"
"2005","DK","Denmark","Total","Percentage of active population","Total","4.8"
"2005","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","11.2"
"2005","EE","Estonia","Total","Percentage of active population","Total","8.0"
"2005","IE","Ireland","Total","Percentage of active population","Total","4.4"
"2005","EL","Greece","Total","Percentage of active population","Total","10.0"
"2005","ES","Spain","Total","Percentage of active population","Total","9.2"
"2005","FR","France","Total","Percentage of active population","Total","8.9"
"2005","HR","Croatia","Total","Percentage of active population","Total","13.0"
"2005","IT","Italy","Total","Percentage of active population","Total","7.7"
"2005","CY","Cyprus","Total","Percentage of active population","Total","5.3"
"2005","LV","Latvia","Total","Percentage of active population","Total","10.0"
"2005","LT","Lithuania","Total","Percentage of active population","Total","8.3"
"2005","LU","Luxembourg","Total","Percentage of active population","Total","4.6"
