"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"2001","SE","T","Y15-74","TOTAL","PC","4.7"
"2001","UK","T","Y15-74","TOTAL","PC","4.7"
"2001","IS","T","Y15-74","TOTAL","PC","1.9"
"2001","NO","T","Y15-74","TOTAL","PC","3.7"
"2001","CH","T","Y15-74","TOTAL","PC","2.5"
"2001","MK","T","Y15-74","TOTAL","PC",":"
"2001","TR","T","Y15-74","TOTAL","PC",":"
"2002","BE","T","Y15-74","TOTAL","PC","6.9"
"2002","BG","T","Y15-74","TOTAL","PC","18.1"
"2002","CZ","T","Y15-74","TOTAL","PC","7.0"
"2002","DK","T","Y15-74","TOTAL","PC","4.3"
"2002","DE","T","Y15-74","TOTAL","PC","8.5"
"2002","EE","T","Y15-74","TOTAL","PC","10.0"
"2002","IE","T","Y15-74","TOTAL","PC","4.2"
"2002","EL","T","Y15-74","TOTAL","PC","10.0"
"2002","ES","T","Y15-74","TOTAL","PC","11.2"
"2002","FR","T","Y15-74","TOTAL","PC","8.7"
"2002","HR","T","Y15-74","TOTAL","PC","15.1"
"2002","IT","T","Y15-74","TOTAL","PC","9.2"
"2002","CY","T","Y15-74","TOTAL","PC","3.3"
"2002","LV","T","Y15-74","TOTAL","PC","13.8"
"2002","LT","T","Y15-74","TOTAL","PC","13.0"
"2002","LU","T","Y15-74","TOTAL","PC","2.6"
"2002","HU","T","Y15-74","TOTAL","PC","5.6"
"2002","MT","T","Y15-74","TOTAL","PC","6.9"
"2002","NL","T","Y15-74","TOTAL","PC","2.6"
"2002","AT","T","Y15-74","TOTAL","PC","4.9"
"2002","PL","T","Y15-74","TOTAL","PC","20.0"
"2002","PT","T","Y15-74","TOTAL","PC","4.6"
"2002","RO","T","Y15-74","TOTAL","PC","8.3"
"2002","SI","T","Y15-74","TOTAL","PC","6.0"
"2002","SK","T","Y15-74","TOTAL","PC","18.7"
"2002","FI","T","Y15-74","TOTAL","PC","10.4"
"2002","SE","T","Y15-74","TOTAL","PC","5.0"
"2002","UK","T","Y15-74","TOTAL","PC","5.0"
"2002","IS","T","Y15-74","TOTAL","PC","3.0"
"2002","NO","T","Y15-74","TOTAL","PC","4.0"
"2002","CH","T","Y15-74","TOTAL","PC","2.9"
"2002","MK","T","Y15-74","TOTAL","PC",":"
"2002","TR","T","Y15-74","TOTAL","PC",":"
"2003","BE","T","Y15-74","TOTAL","PC","7.7"
"2003","BG","T","Y15-74","TOTAL","PC","13.8"
"2003","CZ","T","Y15-74","TOTAL","PC","7.6"
"2003","DK","T","Y15-74","TOTAL","PC","5.4"
"2003","DE","T","Y15-74","TOTAL","PC","9.8"
"2003","EE","T","Y15-74","TOTAL","PC","11.3"
"2003","IE","T","Y15-74","TOTAL","PC","4.5"
"2003","EL","T","Y15-74","TOTAL","PC","9.4"
"2003","ES","T","Y15-74","TOTAL","PC","11.3"
"2003","FR","T","Y15-74","TOTAL","PC","8.3"
"2003","HR","T","Y15-74","TOTAL","PC","14.0"
"2003","IT","T","Y15-74","TOTAL","PC","8.9"
"2003","CY","T","Y15-74","TOTAL","PC","4.2"
"2003","LV","T","Y15-74","TOTAL","PC","12.1"
"2003","LT","T","Y15-74","TOTAL","PC","12.9"
"2003","LU","T","Y15-74","TOTAL","PC","3.7"
"2003","HU","T","Y15-74","TOTAL","PC","5.8"
"2003","MT","T","Y15-74","TOTAL","PC","7.5"
"2003","NL","T","Y15-74","TOTAL","PC","3.6"
"2003","AT","T","Y15-74","TOTAL","PC","4.8"
"2003","PL","T","Y15-74","TOTAL","PC","19.4"
"2003","PT","T","Y15-74","TOTAL","PC","6.2"
"2003","RO","T","Y15-74","TOTAL","PC","6.9"
"2003","SI","T","Y15-74","TOTAL","PC","6.5"
"2003","SK","T","Y15-74","TOTAL","PC","17.1"
"2003","FI","T","Y15-74","TOTAL","PC","10.5"
"2003","SE","T","Y15-74","TOTAL","PC","5.6"
"2003","UK","T","Y15-74","TOTAL","PC","4.8"
"2003","IS","T","Y15-74","TOTAL","PC","4.0"
"2003","NO","T","Y15-74","TOTAL","PC","4.2"
"2003","CH","T","Y15-74","TOTAL","PC","4.1"
"2003","MK","T","Y15-74","TOTAL","PC",":"
"2003","TR","T","Y15-74","TOTAL","PC",":"
"2004","BE","T","Y15-74","TOTAL","PC","7.4"
"2004","BG","T","Y15-74","TOTAL","PC","12.1"
"2004","CZ","T","Y15-74","TOTAL","PC","8.2"
"2004","DK","T","Y15-74","TOTAL","PC","5.2"
"2004","DE","T","Y15-74","TOTAL","PC","10.7"
"2004","EE","T","Y15-74","TOTAL","PC","10.2"
"2004","IE","T","Y15-74","TOTAL","PC","4.5"
"2004","EL","T","Y15-74","TOTAL","PC","10.3"
"2004","ES","T","Y15-74","TOTAL","PC","11.1"
"2004","FR","T","Y15-74","TOTAL","PC","8.9"
"2004","HR","T","Y15-74","TOTAL","PC","13.7"
"2004","IT","T","Y15-74","TOTAL","PC","7.9"
"2004","CY","T","Y15-74","TOTAL","PC","4.4"
"2004","LV","T","Y15-74","TOTAL","PC","11.7"
"2004","LT","T","Y15-74","TOTAL","PC","10.7"
"2004","LU","T","Y15-74","TOTAL","PC","5.1"
"2004","HU","T","Y15-74","TOTAL","PC","5.8"
"2004","MT","T","Y15-74","TOTAL","PC","7.3"
"2004","NL","T","Y15-74","TOTAL","PC","4.7"
"2004","AT","T","Y15-74","TOTAL","PC","5.8"
"2004","PL","T","Y15-74","TOTAL","PC","19.1"
"2004","PT","T","Y15-74","TOTAL","PC","6.4"
"2004","RO","T","Y15-74","TOTAL","PC","7.7"
"2004","SI","T","Y15-74","TOTAL","PC","6.0"
"2004","SK","T","Y15-74","TOTAL","PC","18.6"
"2004","FI","T","Y15-74","TOTAL","PC","10.4"
"2004","SE","T","Y15-74","TOTAL","PC","6.7"
"2004","UK","T","Y15-74","TOTAL","PC","4.6"
"2004","IS","T","Y15-74","TOTAL","PC","4.0"
"2004","NO","T","Y15-74","TOTAL","PC","4.3"
"2004","CH","T","Y15-74","TOTAL","PC","4.3"
"2004","MK","T","Y15-74","TOTAL","PC",":"
"2004","TR","T","Y15-74","TOTAL","PC",":"
"2005","BE","T","Y15-74","TOTAL","PC","8.5"
"2005","BG","T","Y15-74","TOTAL","PC","10.1"
"2005","CZ","T","Y15-74","TOTAL","PC","7.9"
"2005","DK","T","Y15-74","TOTAL","PC","4.8"
"2005","DE","T","Y15-74","TOTAL","PC","11.2"
"2005","EE","T","Y15-74","TOTAL","PC","8.0"
"2005","IE","T","Y15-74","TOTAL","PC","4.4"
"2005","EL","T","Y15-74","TOTAL","PC","10.0"
"2005","ES","T","Y15-74","TOTAL","PC","9.2"
"2005","FR","T","Y15-74","TOTAL","PC","8.5"
"2005","HR","T","Y15-74","TOTAL","PC","12.7"
"2005","IT","T","Y15-74","TOTAL","PC","7.7"
"2005","CY","T","Y15-74","TOTAL","PC","5.3"
"2005","LV","T","Y15-74","TOTAL","PC","10.0"
"2005","LT","T","Y15-74","TOTAL","PC","8.3"
"2005","LU","T","Y15-74","TOTAL","PC","4.5"
"2005","HU","T","Y15-74","TOTAL","PC","7.2"
"2005","MT","T","Y15-74","TOTAL","PC","6.9"
"2005","NL","T","Y15-74","TOTAL","PC","4.7"
"2005","AT","T","Y15-74","TOTAL","PC","5.6"
"2005","PL","T","Y15-74","TOTAL","PC","17.8"
"2005","PT","T","Y15-74","TOTAL","PC","7.7"
"2005","RO","T","Y15-74","TOTAL","PC","7.2"
"2005","SI","T","Y15-74","TOTAL","PC","6.5"
"2005","SK","T","Y15-74","TOTAL","PC","16.3"
"2005","FI","T","Y15-74","TOTAL","PC","8.4"
"2005","SE","T","Y15-74","TOTAL","PC","7.8"
"2005","UK","T","Y15-74","TOTAL","PC","4.8"
"2005","IS","T","Y15-74","TOTAL","PC","2.5"
"2005","NO","T","Y15-74","TOTAL","PC","4.4"
"2005","CH","T","Y15-74","TOTAL","PC","4.5"
"2005","MK","T","Y15-74","TOTAL","PC",":"
"2005","TR","T","Y15-74","TOTAL","PC",":"
"2006","BE","T","Y15-74","TOTAL","PC","8.3"
"2006","BG","T","Y15-74","TOTAL","PC","9.0"
"2006","CZ","T","Y15-74","TOTAL","PC","7.2"
"2006","DK","T","Y15-74","TOTAL","PC","3.9"
"2006","DE","T","Y15-74","TOTAL","PC","10.3"
"2006","EE","T","Y15-74","TOTAL","PC","5.9"
"2006","IE","T","Y15-74","TOTAL","PC","4.4"
"2006","EL","T","Y15-74","TOTAL","PC","9.0"
"2006","ES","T","Y15-74","TOTAL","PC","8.5"
"2006","FR","T","Y15-74","TOTAL","PC","8.5"
"2006","HR","T","Y15-74","TOTAL","PC","11.2"
"2006","IT","T","Y15-74","TOTAL","PC","6.8"
"2006","CY","T","Y15-74","TOTAL","PC","4.6"
"2006","LV","T","Y15-74","TOTAL","PC","7.0"
"2006","LT","T","Y15-74","TOTAL","PC","5.8"
"2006","LU","T","Y15-74","TOTAL","PC","4.7"
"2006","HU","T","Y15-74","TOTAL","PC","7.5"
"2006","MT","T","Y15-74","TOTAL","PC","6.8"
"2006","NL","T","Y15-74","TOTAL","PC","3.9"
"2006","AT","T","Y15-74","TOTAL","PC","5.3"
"2006","PL","T","Y15-74","TOTAL","PC","13.9"
"2006","PT","T","Y15-74","TOTAL","PC","7.8"
"2006","RO","T","Y15-74","TOTAL","PC","7.3"
"2006","SI","T","Y15-74","TOTAL","PC","6.0"
"2006","SK","T","Y15-74","TOTAL","PC","13.4"
"2006","FI","T","Y15-74","TOTAL","PC","7.7"
"2006","SE","T","Y15-74","TOTAL","PC","7.1"
"2006","UK","T","Y15-74","TOTAL","PC","5.4"
"2006","IS","T","Y15-74","TOTAL","PC","2.8"
"2006","NO","T","Y15-74","TOTAL","PC","3.4"
"2006","CH","T","Y15-74","TOTAL","PC","4.0"
"2006","MK","T","Y15-74","TOTAL","PC","36.1"
"2006","TR","T","Y15-74","TOTAL","PC","8.8"
"2007","BE","T","Y15-74","TOTAL","PC","7.5"
"2007","BG","T","Y15-74","TOTAL","PC","6.9"
"2007","CZ","T","Y15-74","TOTAL","PC","5.3"
"2007","DK","T","Y15-74","TOTAL","PC","3.8"
"2007","DE","T","Y15-74","TOTAL","PC","8.7"
"2007","EE","T","Y15-74","TOTAL","PC","4.6"
"2007","IE","T","Y15-74","TOTAL","PC","4.7"
"2007","EL","T","Y15-74","TOTAL","PC","8.4"
"2007","ES","T","Y15-74","TOTAL","PC","8.2"
"2007","FR","T","Y15-74","TOTAL","PC","7.7"
"2007","HR","T","Y15-74","TOTAL","PC","9.9"
"2007","IT","T","Y15-74","TOTAL","PC","6.1"
"2007","CY","T","Y15-74","TOTAL","PC","3.9"
"2007","LV","T","Y15-74","TOTAL","PC","6.1"
"2007","LT","T","Y15-74","TOTAL","PC","4.3"
"2007","LU","T","Y15-74","TOTAL","PC","4.1"
"2007","HU","T","Y15-74","TOTAL","PC","7.4"
"2007","MT","T","Y15-74","TOTAL","PC","6.5"
"2007","NL","T","Y15-74","TOTAL","PC","3.2"
"2007","AT","T","Y15-74","TOTAL","PC","4.9"
"2007","PL","T","Y15-74","TOTAL","PC","9.6"
"2007","PT","T","Y15-74","TOTAL","PC","8.1"
"2007","RO","T","Y15-74","TOTAL","PC","6.4"
"2007","SI","T","Y15-74","TOTAL","PC","4.9"
"2007","SK","T","Y15-74","TOTAL","PC","11.1"
"2007","FI","T","Y15-74","TOTAL","PC","6.9"
"2007","SE","T","Y15-74","TOTAL","PC","6.2"
"2007","UK","T","Y15-74","TOTAL","PC","5.3"
"2007","IS","T","Y15-74","TOTAL","PC","2.3"
"2007","NO","T","Y15-74","TOTAL","PC","2.5"
"2007","CH","T","Y15-74","TOTAL","PC","3.7"
"2007","MK","T","Y15-74","TOTAL","PC","35.0"
"2007","TR","T","Y15-74","TOTAL","PC","8.9"
"2008","BE","T","Y15-74","TOTAL","PC","7.0"
"2008","BG","T","Y15-74","TOTAL","PC","5.6"
"2008","CZ","T","Y15-74","TOTAL","PC","4.4"
"2008","DK","T","Y15-74","TOTAL","PC","3.4"
"2008","DE","T","Y15-74","TOTAL","PC","7.5"
"2008","EE","T","Y15-74","TOTAL","PC","5.5"
"2008","IE","T","Y15-74","TOTAL","PC","6.4"
"2008","EL","T","Y15-74","TOTAL","PC","7.8"
"2008","ES","T","Y15-74","TOTAL","PC","11.3"
"2008","FR","T","Y15-74","TOTAL","PC","7.1"
"2008","HR","T","Y15-74","TOTAL","PC","8.6"
"2008","IT","T","Y15-74","TOTAL","PC","6.7"
"2008","CY","T","Y15-74","TOTAL","PC","3.7"
